Id Qr	Kode Item	Rand Char	No Nie	No Batch	Expired Date	Kode Produk
1	90DKL9909212438A110501011719013100001	EXK	DKL9909212438A1	50101	2019-01-31	DSYUS213
2	90DKL9909212438A110501011719013100002	PQP	DKL9909212438A1	50101	2019-01-31	DSYUS213
3	90DKL9909212438A110501011719013100003	WGY	DKL9909212438A1	50101	2019-01-31	DSYUS213
4	90DKL9909212438A110501011719013100004	IBM	DKL9909212438A1	50101	2019-01-31	DSYUS213
5	90DKL9909212438A110501011719013100005	YCY	DKL9909212438A1	50101	2019-01-31	DSYUS213
6	90DKL9909212438A110501011719013100006	RTB	DKL9909212438A1	50101	2019-01-31	DSYUS213
7	90DKL9909212438A110501011719013100007	ALC	DKL9909212438A1	50101	2019-01-31	DSYUS213
8	90DKL9909212438A110501011719013100008	HHZ	DKL9909212438A1	50101	2019-01-31	DSYUS213
9	90DKL9909212438A110501011719013100009	ISG	DKL9909212438A1	50101	2019-01-31	DSYUS213
10	90DKL9909212438A110501011719013100010	NBX	DKL9909212438A1	50101	2019-01-31	DSYUS213
